7.6	0.475488	0.475488	3.06618	4.08064	1	-1.01445	1.07651
7.7	0.474826	0.474826	3.08664	4.10767	1	-1.02103	1.07078
7.8	0.474125	0.474125	3.10694	4.1347	1	-1.02775	1.06491
7.9	0.473384	0.473384	3.12711	4.16173	1	-1.03462	1.05889
8	0.472602	0.472602	3.14714	4.18876	1	-1.04162	1.05274
8.1	0.471778	0.471778	3.16704	4.21579	1	-1.04875	1.04647
8.2	0.470912	0.470912	3.18683	4.24282	1	-1.056	1.04007
8.3	0.470002	0.470002	3.2065	4.26986	1	-1.06336	1.03356
8.4	0.469047	0.469047	3.22606	4.29689	1	-1.07083	1.02695
8.5	0.468046	0.468046	3.24553	4.32393	1	-1.0784	1.02023
8.6	0.466999	0.466999	3.2649	4.35096	1	-1.08606	1.01343
8.7	0.465905	0.465905	3.28419	4.378	1	-1.09381	1.00653
8.8	0.464763	0.464763	3.30339	4.40504	1	-1.10165	0.999557
8.9	0.463572	0.463572	3.32252	4.43208	1	-1.10956	0.992507
9	0.462332	0.462332	3.34158	4.45912	1	-1.11753	0.98539
9.1	0.461041	0.461041	3.36058	4.48616	1	-1.12557	0.97821
9.2	0.4597	0.4597	3.37953	4.5132	1	-1.13367	0.970974
9.3	0.458307	0.458307	3.39842	4.54024	1	-1.14181	0.963689
9.4	0.456863	0.456863	3.41727	4.56728	1	-1.15	0.956359
9.5	0.455366	0.455366	3.43609	4.59432	1	-1.15823	0.948991
9.6	0.453817	0.453817	3.45487	4.62136	1	-1.16649	0.941591
9.7	0.452214	0.452214	3.47362	4.6484	1	-1.17478	0.934165
9.8	0.450558	0.450558	3.49235	4.67544	1	-1.18309	0.926718
9.9	0.448848	0.448848	3.51107	4.70248	1	-1.19141	0.919257
10	0.447083	0.447083	3.52978	4.72952	1	-1.19974	0.911787
10.1	0.445265	0.445265	3.54849	4.75656	1	-1.20807	0.904314
10.2	0.443391	0.443391	3.5672	4.7836	1	-1.2164	0.896843
10.3	0.441463	0.441463	3.58591	4.81064	1	-1.22473	0.889381
10.4	0.439481	0.439481	3.60465	4.83768	1	-1.23303	0.881933
10.5	0.437444	0.437444	3.6234	4.86472	1	-1.24132	0.874505
10.6	0.435352	0.435352	3.64218	4.89175	1	-1.24958	0.867103
10.7	0.433206	0.433206	3.66099	4.91879	1	-1.25781	0.859732
10.8	0.431005	0.431005	3.67983	4.94583	1	-1.26599	0.852399
10.9	0.428751	0.428751	3.69872	4.97286	1	-1.27414	0.845109
11	0.426442	0.426442	3.71766	4.99989	1	-1.28223	0.837868
11.1	0.424081	0.424081	3.73665	5.02693	1	-1.29027	0.830681
11.2	0.421667	0.421667	3.75571	5.05396	1	-1.29825	0.823556
11.3	0.4192	0.4192	3.77483	5.08098	1	-1.30615	0.816498
11.4	0.416682	0.416682	3.79402	5.10801	1	-1.31399	0.809512
11.5	0.414112	0.414112	3.8133	5.13504	1	-1.32174	0.802605
11.6	0.411493	0.411493	3.83266	5.16206	1	-1.32941	0.795783
11.7	0.408824	0.408824	3.85211	5.18908	1	-1.33698	0.789052
11.8	0.406106	0.406106	3.87165	5.21611	1	-1.34445	0.782419
11.9	0.403341	0.403341	3.8913	5.24312	1	-1.35182	0.775889
12	0.400529	0.400529	3.91106	5.27014	1	-1.35908	0.76947
12.1	0.397672	0.397672	3.93094	5.29715	1	-1.36622	0.763166
12.2	0.394771	0.394771	3.95094	5.32417	1	-1.37323	0.756986
12.3	0.391826	0.391826	3.97107	5.35118	1	-1.38011	0.750935
12.4	0.388841	0.388841	3.99133	5.37818	1	-1.38685	0.74502
12.5	0.385815	0.385815	4.01174	5.40519	1	-1.39345	0.739248
12.6	0.38275	0.38275	4.0323	5.43219	1	-1.39989	0.733626
12.7	0.379648	0.379648	4.05301	5.45919	1	-1.40618	0.728159
12.8	0.376511	0.376511	4.07389	5.48619	1	-1.4123	0.722857
12.9	0.373341	0.373341	4.09494	5.51318	1	-1.41824	0.717725
13	0.370138	0.370138	4.11616	5.54017	1	-1.42401	0.71277
13.1	0.366906	0.366906	4.13757	5.56716	1	-1.42959	0.708
13.2	0.363646	0.363646	4.15917	5.59415	1	-1.43497	0.703422
13.3	0.360359	0.360359	4.18097	5.62113	1	-1.44015	0.699043
13.4	0.357049	0.357049	4.20298	5.64811	1	-1.44513	0.69487
13.5	0.353718	0.353718	4.2252	5.67508	1	-1.44988	0.690912
13.6	0.350366	0.350366	4.24765	5.70206	1	-1.45441	0.687175
