,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.611651,0.455459,0.7,0.521693,0.474009,0.670585,0.654314,0.619013,0.67335,0.606033
0.1,0.866002,0.888175,0.889245,0.885271,0.888931,0.889708,0.862183,0.879721,0.875474,0.892735
0.2,0.842657,0.825944,0.86224,0.857823,0.843655,0.830506,0.855685,0.837565,0.854879,0.855296
0.3,0.822127,0.817848,0.815306,0.823812,0.846195,0.81457,0.817037,0.818349,0.820622,0.822093
0.4,0.805133,0.808829,0.770178,0.808583,0.80533,0.801344,0.799872,0.77609,0.831379,0.794983
0.5,0.778575,0.771463,0.796322,0.766334,0.784746,0.820059,0.790645,0.806194,0.791356,0.794156
0.6,0.770247,0.780654,0.790871,0.793795,0.772962,0.79373,0.776333,0.756682,0.774288,0.78018
0.7,0.762674,0.759831,0.771659,0.755265,0.771957,0.77898,0.75496,0.780299,0.750971,0.769339
0.8,0.784459,0.763631,0.769147,0.768037,0.743917,0.750516,0.75986,0.762111,0.756756,0.786552
0.9,0.765024,0.740146,0.761874,0.786539,0.772089,0.716423,0.773836,0.760854,0.774275,0.757537
1.0,0.736436,0.755889,0.707829,0.763977,0.745119,0.742198,0.764512,0.771554,0.744796,0.765362
