0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0,425,1
0.001,245,34
0,425,1
0.001,259,14
0.002,94,302
0.001,254,35
0.002,91,307
0.002,92,314
0.003,38,384
0.003,43,373
0.001,240,41
0.003,27,399
0,425,1
0.002,96,291
0,425,1
0.003,45,378
0.002,114,259
0,425,1
0.002,116,269
0,425,1
0.001,235,24
0.002,86,307
0,425,1
0.001,264,19
0.001,257,48
0,425,1
0.003,49,366
0.002,105,285
0.002,89,312
0.001,247,26
0.002,100,267
0.001,251,38
0.001,253,14
0.003,28,395
0.003,41,382
0,425,1
0.002,101,271
0.002,107,285
0,425,1
0.002,86,311
0,425,1
0,425,1
0.001,247,32
0.001,238,18
0.001,248,23
0.003,41,381
0,425,1
0.001,253,15
0.002,101,278
0.006,5,421
0.001,241,34
0,425,1
0.001,239,22
0.001,220,41
0,425,1
0.002,94,308
0.007,2,424
0.002,102,298
0.001,254,37
0.003,33,387
0.007,1,425
0.002,93,320
0.008,2,424
0.001,240,34
0.003,32,391
0.002,77,330
0.002,106,279
0.002,104,289
0.002,103,298
0.002,87,294
0.009,1,425
0.004,25,400
0.003,44,373
0.003,37,382
0.005,9,416
0.003,33,390
0.003,32,388
0.001,262,16
0.001,253,25
0.002,99,274
0.003,31,393
0.005,2,424
0.001,252,25
0.001,239,28
0.003,45,374
0.011,1,425
0.001,238,18
0.006,4,422
0.011,1,425
0.001,216,41
0.002,116,273
0.006,6,420
0.006,3,423
0.003,36,388
0.006,3,423
0.012,1,425
0.003,36,378
0.003,47,376
0.014,1,425
0.004,13,412
0.003,33,389
0.013,1,425
0.007,1,425
0.003,26,397
0.014,1,425
0.004,11,415
0.005,9,417
0.007,1,425
0.015,1,425
0.003,32,390
0.004,15,411
0.007,1,425
0.006,3,423
0.004,11,413
0.004,10,413
0.007,1,425
0.007,1,425
0.004,7,419
0.007,3,423
0.015,1,425
0.004,14,410
0.004,13,411
0.008,1,425
0.005,12,413
0.005,11,415
0.002,98,296
0.002,114,269
0.008,1,425
0.008,2,424
0.005,7,419
0.008,4,422
0.005,4,422
0.004,18,403
0.008,1,425
0.008,2,424
0.005,15,411
0.008,2,424
0.005,9,417
0.004,15,411
0.003,28,398
0.008,1,425
0.009,1,425
0.009,1,425
0.009,2,424
0.009,1,425
0.009,2,424
0.009,1,425
0.009,2,424
0.004,16,405
0.005,8,417
0.005,7,419
0.009,1,425
0.01,1,425
0.01,1,425
0.005,7,419
0.009,1,425
0.009,1,425
0.01,1,425
0.011,1,425
0.011,1,425
0.011,1,425
0.01,1,425
0.01,1,425
0.002,119,255
0.003,40,378
0.01,1,425
0.005,3,423
0.004,18,407
0.012,1,425
0.001,235,27
0.01,1,425
0.01,1,425
0.011,1,425
0.006,7,419
0.006,4,422
0.006,4,422
0.006,4,422
0.01,1,425
0.002,106,274
0.006,5,421
0.011,1,425
0.011,1,425
0.011,1,425
0.014,1,425
0.011,1,425
0.011,1,425
0.012,1,425
0.006,4,422
0.014,1,425
0.005,10,416
0.003,44,373
0.014,1,425
0.005,5,421
0.012,1,425
0.013,1,425
0.011,1,425
0.004,19,406
0.006,3,423
0.007,2,424
0.004,12,413
0.007,1,425
0.004,8,418
0.011,1,425
0.006,2,424
0.006,2,424
0.006,4,422
0.007,3,423
0.007,2,424
0.002,101,309
0.007,1,425
0.015,1,425
0.007,5,421
0.012,1,425
0.012,1,425
0.007,3,423
0.012,1,425
0.004,9,417
0.013,1,425
0.014,1,425
0.014,1,425
0.004,17,406
0.013,1,425
0.007,1,425
0.013,1,425
0.007,4,422
0.007,2,424
0.008,2,424
0.006,6,420
0.006,6,420
0.008,1,425
0.014,1,425
0.014,1,425
0.008,3,423
0.014,1,425
0.015,1,425
0.005,9,417
0.008,1,425
0.015,1,425
0.008,1,425
0.008,2,424
0.008,1,425
0.008,2,424
