0.4	25.1333	0.823914
0.5	24.5333	0.931371
0.1	23.9333	0.799984
0.1	24.3667	0.772535
0.2	23.9333	0.835383
0.3	24.6667	0.849862
0.2	24.6	0.771388
0.2	24.7333	0.737222
0.7	24.7	0.96972
0.7	23.7667	0.9653
0.3	23.7	0.883917
0.7	25.4333	0.97112
0.7	24.9	0.974562
0.7	24.3	0.968522
0.2	23.1667	0.762739
1	29.7667	0.995102
0.1	23.7333	0.777219
0.3	24.6667	0.843302
1	31.9	0.98256
0.2	24	0.839714
0.2	23.1333	0.878368
0.2	23.0333	0.762927
1	28.4	0.996544
0.3	22.8667	0.866734
1	28.3	0.996323
0.7	25.3667	0.96093
0.7	25.9	0.955109
1	28.4	0.99665
0.2	23.2	0.858453
0.1	22.8333	0.683737
0.7	25.8667	0.962807
1	26.8333	0.995499
0.3	24	0.895266
0.2	23.9667	0.802766
0.2	23.7	0.692072
0.1	24	0.813509
0.4	25.2	0.852542
0.5	24.4	0.940537
0.7	24.9667	0.971684
0.8	23.7333	0.962906
0.8	25.1333	0.975872
0.5	24.7667	0.925753
0.8	23.8	0.96562
0.8	23.7667	0.971943
0.8	24.4	0.967678
0.3	23.5	0.858384
0.3	23.3333	0.874608
0.4	22.5333	0.728637
0	23.5333	0.712885
0.9	26.3333	0.990256
1	29.5	0.996465
1	29.2	0.995392
0	23.5333	0.560074
0.6	26.7333	0.885598
0.1	23.6	0.807776
0.6	23.9333	0.947799
1	26.9333	0.994181
0	24.7333	0.487015
0.9	29.9667	0.976785
0.4	23.3	0.92558
0.5	24.6	0.954428
0.4	24.2	0.930354
0.9	27.7	0.985621
0.8	24.7333	0.978215
0.5	25.3333	0.939754
0.9	27.3667	0.988831
0.5	25.6667	0.911443
0.5	24.6667	0.933528
0.8	26.2667	0.976749
0.6	25.8	0.942359
0.4	23.3667	0.923349
0	24.1667	0.623947
0.4	24.3	0.892235
0.6	25.9667	0.920478
1	30.3	0.993106
0.9	26.9	0.98845
0.6	24.5	0.960261
0	23.8667	0.700366
0.1	23.5667	0.782289
0	23.8667	0.672321
0.6	26.2	0.901455
0.5	24.9333	0.938859
0.4	23.3333	0.9208
0.6	24.6	0.961663
0.6	24.7	0.955564
0.9	24.8667	0.986455
0.7	26.9667	0.947392
0	23.9667	0.654145
0.6	25.6	0.947556
0.8	24.3333	0.968468
0.9	26.2	0.990855
0.5	25.0333	0.946544
0.4	24.7667	0.880115
0.8	26.0667	0.970963
0.1	22.9333	0.661558
0	23.6	0.760351
0.5	23.9667	0.934722
0.4	23.5667	0.907584
0	22.9	0.678139
0.9	28.6333	0.977173
0.3	23.8333	0.913407
0.9	29.5667	0.966147
0.6	25.5	0.888814
0.9	27.5	0.979232
0.1	23.5	0.688427
0.3	24.2	0.901061
0.1	23.5	0.816494
0.3	23.7667	0.90008
0.8	24.6667	0.977242
0	23.2667	0.640001
