0.01	0.1	23.7	23.7041	23.7147	23.711	1
0.01	0.1	23.5	23.5055	23.5212	23.5157	1
0.01	0.1	23.8	23.7986	23.8119	23.8072	1
0.01	0.1	23.6	23.5993	23.6154	23.6097	1
0.01	0.15	23	23.7034	23.9492	23.8632	0
0.01	0.15	22.7	23.2298	23.1808	23.1979	0
0.01	0.15	22.8	24.0675	23.6392	23.7891	0
0.01	0.1	24.6	24.6229	24.6392	24.6335	1
0.01	0.2	24.5	24.507	24.5205	24.5157	1
0.01	0.1	24.8	23.5827	23.8954	23.7859	0
0.01	0.1	24.9	24.5334	24.582	24.565	0
0.01	0.2	24.3	24.3055	24.3162	24.3125	1
0.01	0.2	24.6	24.6112	24.6313	24.6243	1
0.01	0.2	24.4	24.4039	24.4238	24.4169	1
0.01	0.2	24.9	24.9127	24.9409	24.931	1
0.01	0.15	22.4	23.5223	23.2506	23.3457	0
0.01	0.15	22.3	23.3886	23.6878	23.5831	0
0.01	0.15	22.6	23.373	23.5518	23.4892	0
0.01	0.15	22.5	24.5404	24.8068	24.7136	0
0.01	0.1	22.9	23.592	23.697	23.6602	0
0.01	0.1	23	23.6068	23.5311	23.5576	0
0.01	0.15	23.2	23.1957	23.207	23.2031	1
0.01	0.1	23.1	24.558	24.6359	24.6086	0
0.01	0.15	23.1	23.7243	23.5283	23.5969	0
0.01	0.2	24	24.0055	24.0137	24.0108	1
0.01	0.15	22.9	24.3698	24.8335	24.6712	0
0.01	0.2	23.9	23.9066	23.9159	23.9126	1
0.01	0.2	24.7	24.7155	24.7355	24.7285	1
0.01	0.1	25.3	24.0184	23.8544	23.9118	0
0.01	0.1	25.2	24.7064	24.6933	24.6979	0
0.01	0.1	24.7	24.665	24.6826	24.6764	1
0.01	0.1	25.1	23.5871	23.5792	23.582	0
0.01	0.2	24.1	24.1039	24.1184	24.1133	1
0.01	0.2	25	25.0107	25.0419	25.031	1
0.01	0.1	25	24.7114	24.6817	24.6921	0
0.01	0.2	24.8	24.8209	24.8445	24.8362	1
0.01	0.2	24.2	24.207	24.215	24.2122	1
0.01	0.1	22.8	24.6045	24.4969	24.5346	0
0.01	0.1	23.3	23.4698	23.4845	23.4794	0
0.01	0.1	22.7	23.53	23.4845	23.5004	0
0.01	0.1	23.4	23.4654	23.4826	23.4766	0
0.01	0.1	23.2	23.6057	23.6662	23.6451	0
0.01	0.1	22.6	23.8695	24.2087	24.0899	0
0.01	0.1	24.3	24.3095	24.3191	24.3157	1
0.01	0.1	24.1	24.1071	24.1189	24.1148	1
0.01	0.1	22.2	23.7909	23.5817	23.6549	0
0.01	0.1	22.3	24.4161	24.5561	24.5071	0
0.01	0.1	26	24.7587	24.6585	24.6936	0
