N	t_re	p_link	p_re	Omega	daylength	R[0]	R[1]	R[2]	delta	P[0]	P[1]	P[2]
100	5	0.05	0.014	0.261799	0	0.997715	0.994716	9.8337	0.04525	23.4338	23.4334	23.4335
100	5	0.05	0.015	0.261799	0	0.99854	0.995162	10.6545	0.0105	23.3825	23.3813	23.3815
100	5	0.05	0.016	0.261799	0	0.996722	0.995282	11.4753	0.10375	23.57	23.5697	23.5698
100	5	0.05	0.017	0.261799	0	0.998185	0.993495	12.2948	0.0175	23.365	23.3753	23.3733
100	5	0.05	0.018	0.261799	0	0.998044	0.994304	13.1149	0.00775	23.31	23.3088	23.309
100	5	0.05	0.019	0.261799	0	0.998209	0.995237	13.9357	0.0245	23.4813	23.4747	23.476
100	5	0.05	0.02	0.261799	0	0.998201	0.9958	14.757	0.025	23.43	23.4306	23.4305
100	5	0	0.02	0.261799	0	0.999637	0.998913	0.82376	0.02025	23.4675	23.4716	23.4708
100	5	0.002	0.02	0.261799	0	0.999372	0.998482	1.64717	0.02525	23.46	23.4531	23.4545
100	5	0.004	0.02	0.261799	0	0.999224	0.998509	2.4706	0.03325	23.465	23.4688	23.468
100	5	0.006	0.02	0.261799	0	0.999511	0.998641	3.29414	0.025	23.47	23.4731	23.4725
100	5	0.008	0.02	0.261799	0	0.999512	0.998501	4.11757	0.014	23.5013	23.4994	23.4998
100	5	0.01	0.02	0.261799	0	0.999366	0.997968	4.94059	0.02275	23.4888	23.4909	23.4905
100	5	0.012	0.02	0.261799	0	0.998903	0.997618	5.76331	0.07775	23.6675	23.6663	23.6665
100	5	0.014	0.02	0.261799	0	0.99929	0.997715	6.58612	0.0205	23.4725	23.4716	23.4718
100	5	0.016	0.02	0.261799	0	0.998936	0.998064	7.40919	2.592	23.5538	23.5516	23.552
100	5	0.018	0.02	0.261799	0	0.999095	0.997769	8.23203	0.05675	23.5875	23.5881	23.588
100	5	0.02	0.02	0.261799	0	0.998792	0.997219	9.05444	0.04925	23.5513	23.5438	23.5453
100	5	0.022	0.02	0.261799	0	0.99875	0.997135	9.87677	0.076	23.605	23.6038	23.604
100	5	0.024	0.02	0.261799	0	0.998987	0.997093	10.6991	0.0175	23.41	23.4097	23.4098
100	5	0.026	0.02	0.261799	0	0.998931	0.997325	11.5216	0.05525	23.55	23.5528	23.5523
100	5	0.028	0.02	0.261799	0	0.998785	0.997872	12.3445	0.0305	23.4613	23.4609	23.461
100	5	0.03	0.02	0.261799	0	0.998493	0.996354	13.1662	0.0365	23.5038	23.4966	23.498
100	5	0.032	0.02	0.261799	0	0.998284	0.996993	13.9884	0.05475	23.5325	23.5384	23.5373
100	5	0.034	0.02	0.261799	0	0.998455	0.996865	14.8105	0.04375	23.5075	23.51	23.5095
100	5	0.036	0.02	0.261799	0	0.998468	0.996233	15.6322	0.04575	23.4763	23.4725	23.4733
100	5	0.038	0.02	0.261799	0	0.998663	0.995979	16.4536	0.05775	23.4963	23.4931	23.4938
100	5	0.04	0.02	0.261799	0	0.997801	0.995765	17.2748	0.066	23.5225	23.5213	23.5215
100	5	0.042	0.02	0.261799	0	0.998171	0.99537	18.0958	0.02275	23.4588	23.4538	23.4548
100	5	0.044	0.02	0.261799	0	0.998465	0.994675	18.9162	0.00975	23.4513	23.445	23.4463
100	5	0.046	0.02	0.261799	0	0.997806	0.995769	19.7374	0.014	23.4475	23.4453	23.4458
100	5	0.048	0.02	0.261799	0	0.998499	0.995088	20.5581	2.28	23.5625	23.5591	23.5598
100	5	0.05	0.02	0.261799	0	0.9986	0.995954	21.3796	0.03625	23.4475	23.445	23.4455
