316.6	340.7	364.8	388.9	413.1	
312	336.1	360.2	384.3	408.5	
304.8	329.4	354.1	378.7	403.3	
302	326.6	351.2	375.8	400.5	
316.7	341.3	365.9	390.6	415.2	
322.9	347.6	372.2	396.8	421.5	
318.1	342.8	367.4	392	416.7	
306.1	330.7	355.3	379.9	404.6	
300.4	325	349.7	374.3	398.9	
315.7	340.3	364.9	389.5	414.2	
318	342.7	367.3	391.9	416.6	
310.3	334.9	359.5	384.2	408.8	
317	341.6	366.3	390.9	415.5	
300.2	324.9	349.5	374.1	398.7	
311.3	335.9	360.6	385.2	409.8	
305.3	329.9	354.6	379.2	403.8	
310.1	334.7	359.3	383.9	408.6	
311.4	336.1	360.7	385.3	410	
312.3	336.9	361.6	386.2	410.8	
309.1	333.7	358.3	383	407.6	
322.2	347.2	372.3	397.3	422.4	
319.5	344.6	369.6	394.7	419.7	
316	341	366.1	391.1	416.2	
323.4	348.4	373.5	398.5	423.6	
314.3	339.3	364.4	389.4	414.5	
312.4	337.5	362.5	387.5	412.6	
314.1	339.1	364.2	389.2	414.3	
310.6	335.7	360.7	385.8	410.8	
320.4	345.4	370.5	395.5	420.6	
312	337.1	362.1	387.2	412.2	
311.8	336.8	361.9	386.9	412	
303.8	328.9	353.9	379	404	
314.4	339.5	364.5	389.6	414.6	
302.2	327.2	352.3	377.3	402.4	
321.1	346.1	371.2	396.2	421.3	
316.4	341.5	366.5	391.6	416.6	
308.9	334	359	384.1	409.1	
317.1	342.2	367.2	392.3	417.3	
318.5	343.6	368.6	393.7	418.7	
303.9	328.9	354	379	404.1	
318	343.1	368.1	393.2	418.2	
318.3	343.3	368.3	393.4	418.4	
322.4	347.4	372.5	397.5	422.6	
311.7	336.8	361.8	386.9	411.9	
313	338	363.1	388.1	413.2	
324.1	349.2	374.2	399.3	424.3	
316.4	341.5	366.5	391.6	416.6	
312.1	337.1	362.1	387.2	412.2	
305.8	330.8	355.8	380.9	405.9	
316	341	366.1	391.1	416.2	
310.5	335.6	360.6	385.7	410.7	
324.7	349.8	374.8	399.9	424.9	
314.3	339.4	364.4	389.5	414.5	
312.5	337.5	362.6	387.6	412.7	
302.7	327.8	352.8	377.9	402.9	
322.8	347.8	372.9	397.9	423	
309.6	334.7	359.7	384.8	409.8	
310.5	335.5	360.6	385.6	410.7	
317	342.1	367.1	392.2	417.2	
307.2	332.2	357.3	382.3	407.4	
315.8	340.9	365.9	390.9	416	
315.7	340.7	365.7	390.8	415.8	
301.1	326.2	351.2	376.2	401.3	
300.2	325.2	350.3	375.3	400.4	
303	328	353.1	378.1	403.2	
313.9	339	364	389.1	414.1	
305.5	330.5	355.6	380.6	405.7	
300.6	325.6	350.7	375.7	400.8	
309.9	334.9	360	385	410.1	
303.3	328.4	353.4	378.5	403.5	
308.1	333.2	358.2	383.3	408.3	
322.7	347.7	372.8	397.8	422.9	
311.7	336.8	361.8	386.9	411.9	
316.4	341.4	366.5	391.5	416.6	
315.8	340.9	365.9	391	416	
316.4	341.5	366.5	391.6	416.6	
322.5	347.6	372.6	397.7	422.7	
301.5	326.6	351.6	376.7	401.7	
321	346	371.1	396.1	421.2	
311.2	336.2	361.3	386.3	411.4	
314.7	339.8	364.8	389.9	414.9	
317.7	342.8	367.8	392.9	417.9	
306.3	331.4	356.4	381.5	406.5	
321.5	346.5	371.6	396.6	421.7	
322.6	347.7	372.7	397.8	422.8	
305.6	330.7	355.7	380.8	405.8	
324	349.1	374.1	399.2	424.2	
312.5	337.5	362.6	387.6	412.7	
321.7	346.7	371.8	396.8	421.9	
308.6	333.6	358.7	383.7	408.8	
309.3	334.4	359.4	384.5	409.5	
309.3	334.3	359.4	384.4	409.5	
304	329.1	354.1	379.2	404.2	
303.2	328.3	353.3	378.4	403.4	
300.2	325.3	350.3	375.4	400.4	
307.3	332.4	357.4	382.5	407.5	
313.2	338.3	363.3	388.4	413.4	
309.8	334.9	359.9	385	410	
309.9	334.9	360	385	410.1	
300.6	325.6	350.7	375.7	400.8	
