0.00119968	2.80076	2.00028	7.93967	0.39983	11.9995	0.129925	8.99967	1.26098	0.160222	0.200026	0.0910416	2.40995	0.480102	1.9401	0.320012	0.0500426	0.100101	0.100033	0.000363884	0.119035	0.000363884	0
0.00239935	2.80151	2.00057	7.93933	0.399662	11.999	0.12985	8.99935	1.26196	0.160443	0.200053	0.0910834	2.40989	0.480203	1.9402	0.320025	0.0500853	0.100203	0.100066	0.000694379	0.118079	0.000694379	0
0.00676546	2.80423	2.0016	7.93812	0.399065	11.9973	0.129579	8.99816	1.2655	0.161251	0.200148	0.0912358	2.4097	0.480573	1.94056	0.320069	0.0502422	0.10057	0.100185	0.0018079	0.114665	0.0018079	0
0.0164496	2.81008	2.00389	7.93542	0.397824	11.9935	0.128983	8.99554	1.27326	0.163044	0.20036	0.0915774	2.40927	0.481392	1.94134	0.320168	0.0505976	0.101379	0.100455	0.00404136	0.107413	0.00404136	0
0.0389705	2.82279	2.00921	7.92914	0.395343	11.9852	0.127629	8.98943	1.29093	0.167229	0.200851	0.092389	2.40826	0.483287	1.94308	0.320395	0.0514638	0.10322	0.1011	0.00864836	0.091963	0.00864836	0
0.0893116	2.84663	2.02107	7.91507	0.391504	11.9685	0.124762	8.97578	1.32863	0.176634	0.20194	0.0942812	2.40603	0.487479	1.94657	0.320894	0.053591	0.107148	0.102634	0.0175218	0.0630114	0.0175218	0
0.157345	2.86885	2.03703	7.89601	0.388998	11.9495	0.121237	8.95736	1.37652	0.189409	0.203386	0.096977	2.403	0.49305	1.95043	0.321548	0.0568532	0.112051	0.104905	0.0278421	0.0342769	0.0278421	0
0.20189	2.87781	2.04744	7.88351	0.388434	11.9388	0.119143	8.9453	1.40642	0.197791	0.204314	0.0988075	2.40102	0.49664	1.95243	0.321963	0.0592088	0.115016	0.106511	0.0339278	0.0221421	0.0339278	0
0.245511	2.88356	2.0576	7.87125	0.388399	11.9295	0.117249	8.9335	1.43478	0.206	0.205208	0.100637	2.39906	0.500113	1.95399	0.322361	0.0616694	0.117739	0.108172	0.0394983	0.015545	0.0394983	0
0.294672	2.88823	2.069	7.85744	0.388771	11.9202	0.115292	8.9202	1.46582	0.215247	0.206197	0.102731	2.39685	0.503977	1.95528	0.322798	0.0646111	0.120601	0.110144	0.0453936	0.0128319	0.0453936	0
0.343832	2.89235	2.08037	7.84361	0.389449	11.9121	0.113512	8.90692	1.49599	0.224483	0.207166	0.104847	2.39461	0.507789	1.95607	0.323223	0.0677177	0.123254	0.112218	0.0509447	0.012574	0.0509447	0
0.399175	2.89713	2.09312	7.82806	0.390478	11.9042	0.111703	8.89197	1.52905	0.234862	0.208231	0.107244	2.39206	0.51202	1.9564	0.323688	0.071396	0.126005	0.114669	0.0568411	0.0132688	0.0568411	0
0.472379	2.90405	2.1099	7.8075	0.392156	11.8959	0.109604	8.87222	1.57147	0.248556	0.209598	0.11042	2.38863	0.51752	1.95592	0.324279	0.0765289	0.129283	0.118086	0.0641491	0.0145718	0.0641491	0
0.57515	2.91508	2.1333	7.77872	0.394939	11.8876	0.107153	8.84452	1.62886	0.267708	0.211439	0.114851	2.38368	0.525064	1.95355	0.325067	0.0841907	0.13326	0.123192	0.0736163	0.0164389	0.0736163	0
0.729247	2.93428	2.16806	7.73582	0.39969	11.8822	0.10438	8.80305	1.71102	0.296271	0.214029	0.121349	2.3759	0.536004	1.94643	0.326155	0.0965268	0.138044	0.131427	0.0864101	0.0190009	0.0864101	0
0.959396	2.96791	2.21922	7.67264	0.407453	11.8876	0.101742	8.74127	1.82689	0.33868	0.217533	0.130569	2.3633	0.551564	1.92837	0.327578	0.116471	0.143122	0.144745	0.103108	0.022292	0.103108	0
1.25823	3.01852	2.28429	7.59293	0.417997	11.9157	0.100062	8.66131	1.96839	0.393673	0.221495	0.141509	2.34484	0.570491	1.89297	0.329076	0.144429	0.147161	0.163294	0.121607	0.0257974	0.121607	0
1.63084	3.08961	2.36325	7.49864	0.431212	11.9792	0.0994768	8.56206	2.13515	0.463136	0.225637	0.153514	2.31805	0.592275	1.83242	0.330412	0.181644	0.149796	0.187589	0.141038	0.029249	0.141038	0
2.1226	3.19226	2.46361	7.38554	0.448102	12.1032	0.0998355	8.4318	2.3452	0.558804	0.230018	0.166925	2.27584	0.618301	1.72957	0.331311	0.233431	0.151229	0.220598	0.162284	0.0326923	0.162284	0
2.93856	3.37256	2.61887	7.23469	0.473604	12.3873	0.10121	8.21755	2.68197	0.736798	0.23533	0.184566	2.18927	0.655654	1.51675	0.330688	0.3223	0.151614	0.276058	0.189946	0.036628	0.189946	0
3.75453	3.54802	2.75391	7.13948	0.495	12.7401	0.102566	8.00567	3.0146	0.953149	0.23904	0.198281	2.08611	0.68689	1.27262	0.327316	0.408463	0.151087	0.331357	0.210915	0.0392102	0.210915	0
4.57049	3.68824	2.8496	7.10503	0.510597	13.1265	0.103626	7.79617	3.34496	1.22354	0.24175	0.209362	1.97343	0.71298	1.02066	0.320744	0.482241	0.150039	0.385969	0.226646	0.0408731	0.226646	0
5.26368	3.73088	2.86315	7.12103	0.516031	13.4418	0.104185	7.62006	3.61437	1.50467	0.243522	0.217222	1.87645	0.731646	0.817868	0.312039	0.526444	0.148755	0.431531	0.236049	0.0416795	0.236049	0
5.83805	3.65696	2.78322	7.16063	0.510878	13.6504	0.104281	7.47544	3.81205	1.77419	0.244709	0.22282	1.79917	0.744959	0.667785	0.30217	0.545066	0.147402	0.468519	0.240518	0.0419203	0.240518	0
